"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45037","Edgefield, SC","5","CA1","2","...","Population (persons) 1/",15497,15626,15502,15431,16002,16267,16240,16301,16476,16770,16771,17557,17618,17745,17732,17557,17441,17655,17950,18323,18265,18519,19016,19506,20149,20850,21704,22268,22896,23627,24160,24586,24690,24962,25404,25819,26196,26135,26493,26774,27032,26958,26744,26342,26287,26450,26503,26358
"45037","Edgefield, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2689,2735,2982,3377,3931,3913,4106,5022,5047,5577,6069,6455,7697,7877,7135,9055,10041,10416,10908,11739,13010,13547,14267,15050,15442,16256,16544,15705,17067,17557,18640,19638,20824,21451,21539,23953,23661,23796,24233,25601,25639,26617,27303,29204,29016,30222,31782,32921
"45039","Fairfield, SC","5","CA1","1","...","Personal income (thousands of dollars)",42922,44570,46974,51748,58274,66063,82676,107876,112985,121280,134362,145413,158957,165986,170690,189120,200864,205630,225825,259147,274521,289775,294871,311110,322252,347564,363341,376149,403747,427532,455892,481978,536147,548138,528776,554436,575371,602991,615745,669468,666137,681916,696982,709174,716403,734360,775234,788342
"45039","Fairfield, SC","5","CA1","2","...","Population (persons) 1/",19896,20011,20161,19756,19957,19865,20053,20267,20469,20331,20649,20716,20713,20671,20797,21043,21336,21589,21719,22029,22233,22331,22619,22610,22508,22624,22748,22684,22833,22975,23169,23479,23614,23890,23904,24273,24132,24177,23917,24131,24084,23841,23584,23393,23183,23018,22880,22653
"45039","Fairfield, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2157,2227,2330,2619,2920,3326,4123,5323,5520,5965,6507,7019,7674,8030,8207,8987,9414,9525,10398,11764,12347,12976,13036,13760,14317,15363,15972,16582,17683,18609,19677,20528,22705,22944,22121,22842,23843,24941,25745,27743,27659,28603,29553,30316,30902,31904,33883,34801
"45041","Florence, SC","5","CA1","1","...","Personal income (thousands of dollars)",237002,258124,281749,319898,368748,440694,466654,517417,564558,648912,714984,798516,921103,963594,1027909,1144805,1219856,1286632,1370996,1490974,1645281,1771786,1883419,2015513,2141093,2254144,2361140,2517433,2628214,2779402,2865894,3057509,3162494,3274933,3394945,3605043,3712667,4000836,4243004,4450819,4363027,4442781,4656084,4774604,4819923,4994350,5223516,5307939
"45041","Florence, SC","5","CA1","2","...","Population (persons) 1/",88983,89851,92078,93043,96235,99501,101960,103202,105879,107619,109059,110521,111594,111406,111252,112603,113278,113136,113122,113304,113825,114690,116748,118319,119614,121040,122555,123275,124494,124888,125612,125767,126377,127343,128671,129855,130982,132489,133757,135032,136120,137068,137490,138030,138291,139005,138807,138742
"45041","Florence, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2663,2873,3060,3438,3832,4429,4577,5014,5332,6030,6556,7225,8254,8649,9239,10167,10769,11372,12120,13159,14454,15448,16132,17035,17900,18623,19266,20421,21111,22255,22815,24311,25024,25717,26385,27762,28345,30197,31722,32961,32053,32413,33865,34591,34853,35929,37632,38258
"45043","Georgetown, SC","5","CA1","1","...","Personal income (thousands of dollars)",76880,86399,99143,111148,124056,146593,165141,182160,198315,225994,256073,294946,326838,347321,431297,460877,457013,489576,527614,560084,640109,692819,733062,804376,853550,906551,965724,1043941,1097586,1181809,1254016,1376989,1407347,1478949,1530287,1671148,1789871,1946283,2035767,2143414,2067794,2088170,2197299,2245265,2234122,2355119,2533962,2590733
"45043","Georgetown, SC","5","CA1","2","...","Population (persons) 1/",32994,33546,34170,35358,36486,37345,38702,39488,40717,41626,42404,42591,42974,43053,44100,44404,44123,44591,45223,45647,46024,46654,47740,48703,49378,49973,50847,51724,52594,53920,55053,56080,56800,57688,58387,59176,59521,59821,60277,60621,60369,60135,60144,60232,60417,60729,61243,61399
"45043","Georgetown, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2330,2576,2901,3144,3400,3925,4267,4613,4871,5429,6039,6925,7605,8067,9780,10379,10358,10979,11667,12270,13908,14850,15355,16516,17286,18141,18993,20183,20869,21918,22778,24554,24777,25637,26209,28240,30071,32535,33774,35358,34253,34725,36534,37277,36978,38781,41376,42195
